# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Wazn,5.849329,-35.768309,3.120,1.146
Talitha,8.986828,48.041826,3.120,0.223
Zet Ara,16.977006,-55.990141,3.120,1.552
Sarin,17.250531,24.839204,3.120,0.080
Kap Cen,14.986025,-42.104194,3.130,-0.208
Alp Lyn,9.350925,34.392562,3.140,1.550
HD82668,9.520371,-57.034377,3.160,1.538
Pi Her,17.250788,36.809162,3.160,1.437
Nu Pup,6.629353,-43.195934,3.170,-0.103
The UMa,9.547715,51.677300,3.170,0.475
Aldhibah,17.146448,65.714683,3.170,-0.120
Phi Sgr,18.760940,-26.990778,3.170,-0.107
Haedus,5.108580,41.234474,3.180,-0.148
Alp Cir,14.708492,-64.975138,3.180,0.256
Tabit,4.830669,6.961276,3.190,0.484
Eps Lep,5.091018,-22.371032,3.190,1.460
Kap Oph,16.961139,9.375033,3.190,1.160
Fuyue,17.830965,-37.043304,3.190,1.192
Zet Cyg,21.215607,30.226916,3.210,0.990
Errai,23.655820,77.632276,3.210,1.031
Del Lup,15.356201,-40.647518,3.220,-0.227
Yed Posterior,16.305358,-4.692511,3.230,0.966
Eta Ser,18.355167,-2.898825,3.230,0.941
Alfirk,21.477662,70.560716,3.230,-0.201
Alp Pic,6.803194,-61.941391,3.240,0.225
The Aql,20.188413,-0.821461,3.240,-0.066
Sig Pup,7.487179,-43.301432,3.250,1.509
Pi Hya,14.106193,-26.682361,3.250,1.091
Brachium,15.067839,-25.281965,3.250,1.674
Sulafat,18.982395,32.689557,3.250,-0.049
Gam Hyi,3.787295,-74.238962,3.260,1.590
Del And,0.655462,30.861024,3.270,1.268
The Oph,17.366827,-24.999545,3.270,-0.186
Skat,22.910837,-15.820820,3.270,0.066
Mu Lep,5.215528,-16.205468,3.290,-0.110
Ome Car,10.228961,-70.037903,3.290,-0.074
Edasich,15.415494,58.966065,3.290,1.166
Alp Dor,4.566598,-55.044975,3.300,-0.079
HD91465,10.533743,-61.685332,3.300,-0.089
Propus,6.247961,22.506799,3.310,1.600
Gam Ara,17.423239,-56.377727,3.310,-0.150
Bet Phe,1.101407,-46.718414,3.320,0.885
Rho Per,3.086270,38.840274,3.320,1.528
Megrez,12.257086,57.032617,3.320,0.077
Eta Sco,17.202552,-43.239189,3.320,0.441
Nu Oph,17.983775,-9.773632,3.320,0.987
Tau Sgr,19.115670,-27.670423,3.320,1.169
Alp Ret,4.240404,-62.473858,3.330,0.915
Chertan,11.237335,15.429570,3.330,-0.003
Azmidi,7.821571,-24.859786,3.340,1.218
Segin,1.906584,63.670101,3.350,-0.150
Eta Ori,5.407949,-2.397146,3.350,-0.240
Alzirr,6.754824,12.895591,3.350,0.443
